This file was generated by Angry IP Scanner
Visit http://www.angryziber.com/ for the latest version


Scanned 192.168.0.1 - 192.168.0.11
10/12/2018 16:50:17

IP                    Ping                  Hostname              

192.168.0.1           0 ms                  Server1               
192.168.0.2           0 ms                  SERVER2               
192.168.0.3           Dead                  N/S                   
192.168.0.4           Dead                  N/S                   
192.168.0.5           Dead                  N/S                   
192.168.0.6           Dead                  N/S                   
192.168.0.7           Dead                  N/S                   
192.168.0.8           Dead                  N/S                   
192.168.0.9           Dead                  N/S                   
192.168.0.10          0 ms                  CLIENT1               
192.168.0.11          0 ms                  CLIENT2               
